Batch	Source Language	ID	Type	Text	English MT	Arabic MT	Annotator ID	Bias	Propaganda	Comments
B01	Arabic	3	MAIN	يصفه الإعلام الغربي بأنه "مرعب إسرائيل" ويتصدر قائمة الاغتيالات عند الاحتلال.. قائد حـ.مـ.ــاس في #غزة يحيى السنوار #الجزيرة_بروفايل	The Western media describes him as "Israel's terror" and he tops the list of assassinations under the occupation.. The leader of Hamas in #Gaza Yahya Al-Sinwar #Al Jazeera_Profile	يصفه الإعلام الغربي بأنه "مرعب إسرائيل" ويتصدر قائمة الاغتيالات عند الاحتلال.. قائد حـ.مـ.ــاس في #غزة يحيى السنوار #الجزيرة_بروفايل				
B01	French	3	MAIN	39 Gazaouis blessés, dont 20 grièvement, ont été pris en charge en #Tunisie 🇹🇳 ce dimanche. Les hôpitaux de la bande de #Gaza sont submergés ou hors d'usage ; cette opération permet également à #Tunis de montrer son soutien à la cause palestinienne	39 injured Gazans, including 20 seriously, were treated in #Tunisia 🇹🇳 this Sunday. Hospitals in the #Gaza Strip are overwhelmed or out of service; this operation also allows #Tunis to show its support for the Palestinian cause	تم علاج 39 مصابًا من سكان غزة، بينهم 20 حالة خطيرة، في #تونس 🇹🇳 هذا الأحد. المستشفيات في قطاع #غزة مكتظة أو خارجة عن الخدمة؛ كما تسمح هذه العملية لتونس بإظهار دعمها للقضية الفلسطينية				
B01	Hebrew	3	MAIN	לא אתן לאף מגיש שמראיין אותי בתקשורת הזרה בימים האלה לסובב את הסיפור נגד ישראל, יש כאן רק אשם אחד במצב וזה ארגון הטרור חמאס!! The world must understand...only the terrorist organization Hamas is responsible for what's happening in Israel and only the terrorist organization Hamas is responsible for what about to happen in Gaza. My interview on RT.	I will not allow any presenter who interviews me in the foreign media these days to spin the story against Israel, there is only one person to blame for the situation and that is the terrorist organization Hamas!! The world must understand... only the terrorist organization Hamas is responsible for what's happening in Israel and only the terrorist organization Hamas is responsible for what is about to happen in Gaza. My interview on RT.	لن أسمح لأي مذيع يجري مقابلتي في وسائل الإعلام الأجنبية هذه الأيام أن يلف القصة ضد إسرائيل، هناك شخص واحد فقط هو المسؤول عن الوضع وهو منظمة حماس الإرهابية!! يجب على العالم أن يفهم... أن منظمة حماس الإرهابية وحدها هي المسؤولة عما يحدث في إسرائيل، ومنظمة حماس الإرهابية وحدها هي المسؤولة عما سيحدث في غزة. مقابلتي على قناة RT.				
B01	English	4	MAIN	Videos show how armed men from Gaza stormed a music festival in southern Israel, killing an estimated 260 people on Saturday. The videos, which have been verified by The New York Times, captured panicked concertgoers fleeing through fields and the surrounding countryside, where many hid for hours. Some of the hostages taken over the weekend by Hamas attackers were abducted from the festival. https://nyti.ms/45jl21i:=:https://www.nytimes.com/live/2023/10/10/world/israel-hamas-war-gaza/videos-show-the-beginning-of-the-attack-on-a-music-festival-in-southern-israel	Videos show how armed men from Gaza stormed a music festival in southern Israel, killing an estimated 260 people on Saturday. The videos, which have been verified by The New York Times, captured panicked concertgoers fleeing through fields and the surrounding countryside, where many hid for hours. Some of the hostages taken over the weekend by Hamas attackers were abducted from the festival. https://nyti.ms/45jl21i:=:https://www.nytimes.com/live/2023/10/10/world/israel-hamas-war-gaza/videos-show-the-beginning-of-the-attack-on-a-music-festival-in-southern-israel	أظهرت مقاطع فيديو كيف اقتحم مسلحون من غزة مهرجانًا موسيقيًا في جنوب إسرائيل، مما أسفر عن مقتل ما يقدر بنحو 260 شخصًا يوم السبت. وأظهرت مقاطع الفيديو، التي تم التحقق منها من قبل صحيفة نيويورك تايمز، رواد الحفل المذعورين وهم يفرون عبر الحقول والمناطق الريفية المحيطة، حيث اختبأ الكثيرون لساعات. وتم اختطاف بعض الرهائن الذين احتجزهم مهاجمو حماس خلال عطلة نهاية الأسبوع من المهرجان. https://nyti.ms/45jl21i:=:https://www.nytimes.com/live/2023/10/10/world/israel-hamas-war-gaza/videos-show-the-beginning-of- الهجوم على مهرجان الموسيقى في جنوب إسرائيل				
B01	Arabic	4	MAIN	أطلقنا #السيوف_الحديدية ضد حماس وسننتصر	We fired #iron_swords against Hamas and we will prevail	أطلقنا #السيوف_الحديدية ضد حماس وسننتصر				
B01	Hebrew	4	MAIN	זאת סבתא שלי! נחטפת באין מפריע לרצועת עזה. קוראים לה יפה אדר, היא בת 85!! סבתא שלי שהקימה את הקיבוץ בשתי ידיה, שהאמינה בציונות, שאהבה את המדינה הזאת שהפקירה אותה, חטופה. כנראה זרוקה איפה שהוא, סובלת מכאבים קשים, בלי תרופות, בלי אוכל ובלי מים, מתה מפחד, לבד. אף אחד לא מדבר איתנו, לא יודע להגיד שום דבר, את כל המידע שיש לנו גילינו מסרטונים שהופצו. אני רוצה שהתמונה הזאת תיחרט לכל המנותקים בממשלה הבזיונית הזאת. שיבינו שיש פה אנשים, קשישים וילדים, נשים וגברים, עם שמות ומשפחות. אני רוצה שהם לא ישנו בלילה ויהפכו כל פיסת אדמה עד שהאנשים האלה יחזרו הביתה. בבקשה תשתפן את הפוסט. מקווה שיגיע לאנשים שאולי יוכלו לעזור לנו. Adva Adar	This is my grandmother! You were abducted unhindered to the Gaza Strip. Her name is Yaffe Ader, she is 85 years old!! My grandmother who founded the kibbutz with her own two hands, who believed in Zionism, who loved this country that abandoned her, was kidnapped. Probably dumped somewhere, suffering from severe pain, without medicine, without food and without water, dying of fear, alone. No one talks to us, doesn't know how to say anything, we found out all the information we have from videos that were circulated. I want this image to be regretted by all those disconnected from this disgraceful government. Let them understand that there are people here, elderly and children, women and men, with names and families. I want them to stay awake at night and turn over every piece of land until these people come home. Please share the post. Hope it reaches people who might be able to help us. Adva Adar	هذه جدتي! لقد تم اختطافك دون عوائق إلى قطاع غزة. إسمها يافي أدير عمرها 85 سنة !! جدتي التي أسست الكيبوتس بيديها، والتي آمنت بالصهيونية، وأحبت هذا البلد الذي تخلى عنها، اختطفت. ربما ملقاة في مكان ما، تعاني من آلام شديدة، دون دواء، دون طعام ودون ماء، وتموت من الخوف، وحيدة. لا أحد يتحدث معنا، ولا يعرف كيف يقول أي شيء، لقد عرفنا كل المعلومات التي لدينا من مقاطع الفيديو التي تم تداولها. أريد أن يندم كل من انفصل عن هذه الحكومة المشينة على هذه الصورة. وليفهموا أن هناك أناسًا هنا، كبارًا في السن وأطفالًا، نساء ورجالًا، بأسماء وعائلات. أريدهم أن يبقوا مستيقظين في الليل وأن يسلموا كل قطعة أرض حتى يعود هؤلاء الناس إلى منازلهم. يرجى مشاركة المنشور. نأمل أن يصل إلى الأشخاص الذين قد يكونون قادرين على مساعدتنا. أدفا أدار				
B01	Hindi	4	MAIN	अगर इजरायल और ईरान में हुई जंग तो कौन किसपर पड़ेगा भारी? | Israel vs Iran military power | israel vs gaza war 2023 #israelvsiranmilitarypower #israelvsiranmilitarypower2023 #israelvsiranmilitarypowercomparison2023 #israelvsiranmilitarypower2022 #israelvsiranmilitarypowercomparison #iranvsisraelmilitarypower2023inhindi #israelversusiranmilitarypower #israelandiranmilitarypower #israelandiranmilitarypowercomparisonthethecomparisontv #JoeBiden #IsraelPalestineWar #israel #palestine #Hamas #IsraelHamasWar #israelpalestineconflict #israelpalestine #israelnews #israelipalestinianconflict #war #warlive	If there is a war between Israel and Iran, then who will prevail? , Israel vs Iran military power | israel vs gaza war 2023 #israelvsiranmilitarypower #israelvsiranmilitarypower2023 #israelvsiranmilitarypowercomparison2023 #israelvsiranmilitarypower2022 #israelvsiranmilitarypowercomparison #iranvsisraelmilitarypower2023inhindi #israelversusisaranmilitarypower #israelandiranmilitarypower #israelandiranmilitarypowercomparisonthiscomparisontv #JoeBiden #IsraelPalestineWar #israel #palestine #Hamas #IsraelHamasWar israelpalestineconflict #israelpalestine #israelnews #israelipalestinianconflict #war #warlive	إذا اندلعت حرب بين إسرائيل وإيران فمن سينتصر؟ , إسرائيل مقابل القوة العسكرية الإيرانية | حرب إسرائيل ضد غزة 2023 iranmilitarypowercomparisonthethiscomparisontv #جو بايدن # IsraelPalestineWar #israel #palestine #Hamas # IsraelHamasWar israelpalestineconflict #israelpalestine #israelnews #israelipalestinianconflict #war #warlive				
B01	French	5	MAIN	Gaza était la plus grande prison à ciel ouvert du monde. Elle se transforme aujourd’hui en cimetière géant sous nos yeux. En à peine plus de trois mois, 23 000 Palestinien·nes ont été tué·es. Jusqu'à quand ? Plus que jamais, nous appelons à un cessez-le-feu. Signez notre pétition ici 👉https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles?utm_source=facebook&utm_medium=social&utm_content=ap_nsx17n7amd:=:https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles	Gaza was the largest open-air prison in the world. Today it is transformed into a giant cemetery before our eyes. In just over three months, 23,000 Palestinians have been killed. Until when ? More than ever, we are calling for a ceasefire. Sign our petition here 👉https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles?utm_source=facebook&utm_medium=social&utm_content=ap_nsx17n7amd :=:https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles	كانت غزة أكبر سجن مفتوح في العالم. واليوم يتحول إلى مقبرة عملاقة أمام أعيننا. وفي ما يزيد قليلاً عن ثلاثة أشهر، قُتل 23 ألف فلسطيني. الى متى ؟ ونحن ندعو، أكثر من أي وقت مضى، إلى وقف إطلاق النار. وقع على عريضتنا هنا 👉https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles?utm_source=facebook&utm_medium=social&utm_content=ap_nsx17n7amd :=:https://www.amnesty.fr/conflits-armes-et-populations/petitions/israelgaza-cessez-le-feu-immediat-pour-proteger-les-civiles				
B01	Hebrew	5	MAIN	מנהיג החמאס אסמעיל הנייה ממקום המסתור שלו בחו"ל, רחוק מעזה חוגג יחד עם הנהגת החמאס את מתקפת הטרור על ישראל. חמאס רגילים לתגובות מתונות ואפילו רופסות של צה"ל- זה הזמן להבהיר להם שהם טועים ושהם לא משערים את מה שמחכה להם. צריך לגרום לארגון הטרור הזה להיכחד גם במחיר של החרבת עזה!!! Hamas leader Ismail Haniyeh from his hiding place abroad, far from Gaza, celebrates the terror arracks on Israel together with the Hamas leadership. Hamas is used to moderate and even lax reactions from the IDF. Now is the time to make it clear to them that they have no idea what is coming for them. This terrorist organization must be made extinct.	Hamas leader Ismail Haniyeh from his hiding place abroad, far from Gaza, celebrates with the Hamas leadership the terrorist attack on Israel. Hamas is used to moderate and even lax responses from the IDF - this is the time to make it clear to them that they are wrong and that they are not imagining what awaits them. This terrorist organization must be made extinct even at the cost of destroying Gaza!!! Hamas leader Ismail Haniyeh from his hiding place abroad, far from Gaza, celebrates the terror attacks on Israel together with the Hamas leadership. Hamas is used to moderate and even lax reactions from the IDF. Now is the time to make it clear to them that they have no idea what is coming for them. This terrorist organization must be made extinct.	زعيم حماس إسماعيل هنية يحتفل من مخبأه في الخارج، بعيداً عن غزة، مع قيادة حماس بالهجوم الإرهابي على إسرائيل. لقد اعتادت حماس على ردود فعل معتدلة وحتى متساهلة من جانب جيش الدفاع الإسرائيلي - وهذا هو الوقت المناسب لكي نوضح لهم أنهم مخطئون وأنهم لا يتخيلون ما ينتظرهم. يجب القضاء على هذه المنظمة الإرهابية حتى لو كان ذلك على حساب تدمير غزة!!! زعيم حماس إسماعيل هنية من مخبأه في الخارج، بعيدا عن غزة، يحتفل بالهجمات الإرهابية على إسرائيل مع قيادة حماس. لقد اعتادت حماس على ردود أفعال معتدلة وحتى متساهلة من جانب الجيش الإسرائيلي. والآن هو الوقت المناسب لنوضح لهم أنهم ليس لديهم أدنى فكرة عما سيأتي لهم. يجب القضاء على هذا التنظيم الإرهابي.				
B01	Hindi	5	MAIN	हमास और इजरायल के युद्ध के कई दिन बीत चुके हैं । युद्ध को लेकर कई देश फिलीस्तीन के समर्थन कर रहे हैं। पाकिस्तान भी Palestine के समर्थन में सड़कों पर उतरा है। इस बीच एक इतिहास की जानकारी जानना बेहद जरूरी है। Palestine के समर्थक में उतरे पाकिस्तान ने 25 हजार फिलिस्तीनियों का नरसंहार किया था। #palestine #france #hamasattack #israelpalestineconflict #francepm #majorgauravarya #majorgauravarya #israel #gaza #gazaborder #gazapatti	Many days have passed since the war between Hamas and Israel. Many countries are supporting Palestine regarding the war. Pakistan has also taken to the streets in support of Palestine. Meanwhile, it is very important to know some historical information. Pakistan, which came in support of Palestine, had massacred 25 thousand Palestinians. #palestine #france #hamasattack #israelpalestineconflict #francepm #majorgauravarya #majorgauravarya #israel #gaza #gazaborder #gazapatti	لقد مرت أيام عديدة على الحرب بين حماس وإسرائيل. العديد من الدول تدعم فلسطين فيما يتعلق بالحرب. كما خرجت باكستان إلى الشوارع دعما لفلسطين. وفي الوقت نفسه، من المهم جدًا معرفة بعض المعلومات التاريخية. وباكستان، الداعمة لفلسطين، قتلت 25 ألف فلسطيني. #فلسطين #فرنسا #هجوم حماس #الصراع الإسرائيلي الفلسطيني #francepm #majorgauravarya #majorgauravarya #israel #gaza #gazaborder #gazapatti				
B01	French	6	MAIN	🚨Un carnage humanitaire est en cours à Gaza. 2.5 millions de civils sont pris au piège sous les bombes & le siège d'Israël. 3000 personnes sont mortes, dont 1/3 d'enfants. Chaque minute compte. Face à l'engrenage de violence, l'UE doit porter un message clair : CESSEZ-LE-FEU !	🚨Humanitarian carnage is underway in Gaza. 2.5 million civilians are trapped under Israel's bombs & siege. 3000 people died, 1/3 of them children. Every minute counts. Faced with the spiral of violence, the EU must send a clear message: CEASEFIRE!	🚨المذبحة الإنسانية مستمرة في غزة. 2.5 مليون مدني محاصرون تحت القنابل والحصار الإسرائيلي. مات 3000 شخص، ثلثهم من الأطفال. كل دقيقة لها أهميتها. وفي مواجهة دوامة العنف، يتعين على الاتحاد الأوروبي أن يرسل رسالة واضحة: وقف إطلاق النار!				
B01	Hindi	6	MAIN	इजरायल की सेना से हमास के आतंकी ने क्या कहा? सुनिए जब इजरायल ने गाज़ा पट्टी को जीत लिया...! #IsraelHamas #IsraelHamasConflict #Gaza #IsraelGazaWar #BlackAndWhiteOnAajTak #ATFBVideo Sudhir Chaudhary	What did the Hamas terrorist say to the Israeli army? Listen when Israel conquered the Gaza Strip...! #IsraelHamas #IsraelHamasConflict #Gaza #IsraelGazaWar #BlackAndWhiteOnAajTak #ATFBVideo Sudhir Chaudhary	ماذا قال إرهابي حماس للجيش الإسرائيلي؟ اسمع عندما احتلت إسرائيل قطاع غزة...! # IsraelHamas # IsraelHamasConflict #Gaza # IsraelGazaWar #BlackAndWhiteOnAajTak #ATFBVideo سودهير تشودري				
B01	English	7	MAIN	Protest in Aligarh Muslim University in support of Hamas. इज़रायल पर हमले से हाहाकार, AMU में क्यों हमास की जयकार? #aligarhmuslimuniversity #upnews #tv9upuk #breakingnews #cmyogi #akhileshyadav #upgoverment #bjp #bsp #samajwadiparty #newsupdate #Israel vs palestine #Israel palestine war #israel palestine news #protest AMU israel consulate # Protest in AMU #israel palestine occupation #israel launches air strikes in gaza #AMU Protest For Hamas	Protest in Aligarh Muslim University in support of Hamas. इज़रायल पर हमले से हाहाकार, AMU में क्यों हमास की जयकार? #aligarhmuslimuniversity #upnews #tv9upuk #breakingnews #cmyogi #akhileshyadav #upgoverment #bjp #bsp #samajwadiparty #newsupdate #Israel vs palestine #Israel palestine war #israel palestine news #protest AMU israel consulate # Protest in AMU #israel palestine occupation #israel launches air strikes in gaza #AMU Protest For Hamas	وقفة احتجاجية في جامعة عليكرة الإسلامية دعما لحركة حماس. لماذا تهاجم إسرائيل، اتحاد المغرب العربي ما الذي يشجع حماس؟ #aligarhmuslimuniversity #upnews #tv9upuk #breakingnews #cmyogi #akhileshyadav #upgoverment #bjp #bsp #samajwadiparty #newsupdate #إسرائيل ضد فلسطين #حرب إسرائيل الفلسطينية #أخبار إسرائيل الفلسطينية #احتجاج AMU قنصلية إسرائيل # احتجاج في AMU #الاحتلال الإسرائيلي الفلسطيني #إسرائيل تطلق غارات جوية على غزة #AMU احتجاجا على حماس				
B01	Arabic	7	MAIN	مقابلة خاصة لـ #الحدث مع المتحدث باسم الجيش الإسرائيلي #أفيخاي_أدرعي حول هجوم #حماس على عدة مستوطنات في غلاف #غزة #إسرائيل #فلسطين	A special interview for the #event with the Israeli army spokesman #Avichai_Adraee about the #Hamas attack on several settlements in the #Gaza #Israel #Palestine enclave	مقابلة خاصة لـ #الحدث مع المتحدث باسم الجيش الإسرائيلي #أفيخاي_أدرعي حول هجوم #حماس على عدة مستوطنات في غلاف #غزة #إسرائيل #فلسطين				
B01	French	7	MAIN	Vous en pensez quoi des tweets de Benzema les chéris ? 🤔	What do you think of Benzema’s tweets, darlings? 🤔	ما رأيكم بتغريدات بنزيما يا أحباب؟ 🤔				
B01	Hindi	7	MAIN	👉हमास की हिमाकत..मोसाद की नाकामी ! 👉क्या हमास ने मोसाद को हरा दिया ? 👉इजरायल का '9/11'...मोसाद फेल ! #BreakingNews #IsraelWar #IsraelHamasWar #HamasAttack	👉Hamas' audacity..Mossad's failure! 👉Did Hamas defeat Mossad? 👉Israel's '9/11'...Mossad failed! #BreakingNews #IsraelWar #IsraelHamasWar #HamasAttack	👉 جرأة حماس.. فشل الموساد! 👉 هل انتصرت حماس على الموساد؟ 👉 11 سبتمبر الإسرائيلية.. الموساد فشل! #أخبار_عاجلة #الحرب_الإسرائيلية #الحرب_الإسرائيلية_حماس #هجوم_حماس				
